cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
56,shape,1.38777878078144568e-17,-2.96724783809210191e-04,-1.69270531672371938e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.17190870881846501e-03,1
56,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
57,shape,-2.77555756156289135e-17,-2.82649335249518519e-04,-1.60740198257625089e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.14545095809201816e-03,1
57,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
58,shape,0.00000000000000000e+00,-2.80980814104950238e-04,-1.59166004032346153e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.16686000087336261e-03,1
58,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
59,shape,0.00000000000000000e+00,-2.80980814104950238e-04,-1.59166004032346153e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.16686000087336261e-03,1
59,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
60,shape,1.38777878078144568e-17,-2.79232783498867265e-04,-1.57714897279503941e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.18764185431522590e-03,1
60,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
60,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
60,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
61,shape,1.38777878078144568e-17,-2.79232783498867265e-04,-1.57714897279503941e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.18764185431522590e-03,1
61,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
62,shape,1.38777878078144568e-17,-2.65830968784672161e-04,-1.49239079328677970e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.15676246859854753e-03,1
62,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
63,shape,1.38777878078144568e-17,-2.64510138481027779e-04,-1.48673470754034920e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.17452357551215553e-03,1
63,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
64,shape,1.38777878078144568e-17,-2.64510138481027779e-04,-1.48673470754034920e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.17452357551215553e-03,1
64,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
65,shape,1.38777878078144568e-17,-2.64510138481027779e-04,-1.48673470754034920e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.17452357551215553e-03,1
65,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
65,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
66,shape,1.38777878078144568e-17,-2.64510138481027779e-04,-1.48673470754034920e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.17452357551215553e-03,1
66,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
67,shape,1.38777878078144568e-17,-2.64510138481027779e-04,-1.48673470754034920e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.17452357551215553e-03,1
67,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
68,shape,1.38777878078144568e-17,-2.64510138481027779e-04,-1.48673470754034920e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.17452357551215553e-03,1
