cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
56,3.84760682265335024e-02,1.03462258575756208e-01,5.92998479026872194e-02,1.00073968897520543e-01,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,2.98599955268956906e-02,6.95525081337837747e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
57,3.89358101237342810e-02,1.03301518377498583e-01,5.92998479026871916e-02,9.97913195622710247e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.10054464849877087e-02,7.07217470348300292e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
58,3.89358101237342810e-02,1.03301518377498583e-01,5.92998479026871916e-02,9.97913195622710247e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.10054464849877087e-02,7.07217470348300292e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,0,0
59,3.94072402397619009e-02,1.03142352373466237e-01,5.92998479026871916e-02,9.95103387481660745e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.21723064858610713e-02,7.18758222867270646e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
60,3.94072402397619009e-02,1.03142352373466237e-01,5.92998479026871916e-02,9.95103387481660745e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.21723064858610713e-02,7.18758222867270646e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,1,1
61,3.98900709133120090e-02,1.02984637476186733e-01,5.92998479026872055e-02,9.92311059646672072e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.33599483401762972e-02,7.30149264433848089e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
62,4.03630786756905696e-02,1.02835398396858055e-01,5.92998479026872194e-02,9.89652749958825351e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.45167108087748448e-02,7.40925395880138726e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,1,0,0
63,4.03630786756905696e-02,1.02835398396858055e-01,5.92998479026872194e-02,9.89652749958825351e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.45167108087748448e-02,7.40925395880138726e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,0,0
64,4.03630786756905696e-02,1.02835398396858055e-01,5.92998479026872194e-02,9.89652749958825351e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.45167108087748448e-02,7.40925395880138726e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,0,0
65,4.03630786756905696e-02,1.02835398396858055e-01,5.92998479026872194e-02,9.89652749958825351e-02,4.34130037581270112e-01,8.48520392236527385e+01,1.19537850046901539e-01,4.61870194088733199e-01,3.45167108087748448e-02,7.40925395880138726e-02,3.96963159897474416e+00,3.27000223915208679e+01,3.29299560405940284e+01,0.00000000000000000e+00,0,1,0
