cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
120,shape,-2.08166817117216851e-17,-5.66530880605903286e-05,-4.13916254329363409e-05,0.00000000000000000e+00,0.00000000000000000e+00,2.96579052797618647e-04,1
120,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
120,box,4.85722573273505986e-17,-7.80260216520778371e-07,-1.00449828917964501e-06,0.00000000000000000e+00,0.00000000000000000e+00,-2.24594382036702456e-06,1
120,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
121,shape,-2.08166817117216851e-17,-5.33200000413514008e-05,-3.86198066707824084e-05,0.00000000000000000e+00,0.00000000000000000e+00,2.71708790526126176e-04,1
121,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
122,shape,1.38777878078144568e-17,-4.99347431177840639e-05,-3.74235514682547121e-05,0.00000000000000000e+00,0.00000000000000000e+00,2.53449930825044856e-04,1
122,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
123,shape,-2.08166817117216851e-17,-4.67210282333457849e-05,-3.62163944154017536e-05,0.00000000000000000e+00,0.00000000000000000e+00,2.36627958808743877e-04,1
123,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
124,shape,4.85722573273505986e-17,-4.35082852021234645e-05,-3.45696610238865887e-05,0.00000000000000000e+00,0.00000000000000000e+00,2.21105369959617715e-04,1
124,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
125,shape,-6.24500451351650554e-17,-4.04842104703220795e-05,-3.25804670494034276e-05,0.00000000000000000e+00,0.00000000000000000e+00,2.06789858922307168e-04,1
125,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
125,box,2.77555756156289135e-17,-3.12649818868387941e-06,-1.09689796840700682e-06,0.00000000000000000e+00,0.00000000000000000e+00,-1.08467191822780862e-06,1
126,shape,-1.38777878078144568e-17,-3.87449666524875003e-05,-3.12169158496744537e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.85172202810446329e-04,1
126,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
127,shape,1.38777878078144568e-17,-3.70422672487449867e-05,-3.03974119017780264e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.74406497728984977e-04,1
127,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
128,shape,-2.77555756156289135e-17,-3.53913769054817196e-05,-2.85904839216755136e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.64924709964042737e-04,1
128,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
129,shape,3.46944695195361419e-17,-3.41986387470474829e-05,-2.64634181412620739e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.58267655075039482e-04,1
129,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
130,shape,6.93889390390722838e-18,-3.27738770612637231e-05,-2.54023078083143172e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.58235463872002935e-04,1
130,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
130,box,-1.38777878078144568e-17,-3.15811883248168224e-06,-1.22348738949840108e-06,0.00000000000000000e+00,0.00000000000000000e+00,1.44269218571579927e-06,1
130,surgery_microquench,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
131,shape,1.38777878078144568e-17,-3.12385454141750341e-05,-2.46281292728134371e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.47835906883331258e-04,1
131,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
132,shape,-2.08166817117216851e-17,-2.96366030120565060e-05,-2.40190864021147532e-05,0.00000000000000000e+00,0.00000000000000000e+00,1.46215975506902573e-04,1
132,ricci,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
