cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
34,1.63406835098885914e-02,7.28618981343316097e-02,4.51604846175458138e-02,6.03827442200356238e-02,3.29404475492097892e-01,5.50870879463093956e+01,9.63630336412744509e-02,3.46640815830983828e-01,1.40181250798250140e-01,1.26872588351767845e-01,3.99951637662866810e+00,3.26021812835104612e+01,3.30287808203757152e+01,0.00000000000000000e+00,1,0,0
35,1.63570953158874363e-02,7.25048537576981206e-02,4.51604846175458138e-02,5.97722624705294761e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.43443584466082269e-01,1.28113619418227298e-01,3.99951637662866810e+00,3.25916620910987120e+01,3.30394410959886500e+01,0.00000000000000000e+00,1,1,0
36,1.63778309189180904e-02,7.21636339508020808e-02,4.51604846175458347e-02,5.91844376061754704e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.46655324770158801e-01,1.28834425581014544e-01,3.99951637662866810e+00,3.25916620910987120e+01,3.30394410959886500e+01,0.00000000000000000e+00,1,0,0
37,1.64017567356408503e-02,7.18225666065614582e-02,4.51604846175458277e-02,5.86042504176515766e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.49867420614392510e-01,1.29535288068499455e-01,3.99951637662866810e+00,3.25916620910987120e+01,3.30394410959886500e+01,0.00000000000000000e+00,1,0,0
38,1.64291337101753823e-02,7.14851533398956490e-02,4.51604846175458277e-02,5.80339883540913620e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.53075534614363323e-01,1.30217576349740849e-01,3.99951637662866810e+00,3.25916620910987120e+01,3.30394410959886500e+01,0.00000000000000000e+00,1,0,0
39,1.64600239676691990e-02,7.11436892538990229e-02,4.51604846175458208e-02,5.74648206967389441e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.56322867227217832e-01,1.30892197658061926e-01,3.99951637662866810e+00,3.25916620910987120e+01,3.30394410959886500e+01,0.00000000000000000e+00,1,0,0
40,1.64889083007849560e-02,7.07851108914265975e-02,4.51604846175458138e-02,5.68726499296282675e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.59608846197145493e-01,1.32172937527426315e-01,3.99951637662866810e+00,3.25783348431444182e+01,3.30529569747429690e+01,0.00000000000000000e+00,1,1,1
41,1.65247641737009225e-02,7.04394510526251544e-02,4.51604846175458347e-02,5.63024859047314766e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.62907099294087088e-01,1.32823838314894083e-01,3.99951637662866810e+00,3.25783348431444182e+01,3.30529569747429690e+01,0.00000000000000000e+00,1,0,0
42,1.65639049654544360e-02,7.00898830562496494e-02,4.51604846175458069e-02,5.57273938345574302e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.66267014947582059e-01,1.33476393118170389e-01,3.99951637662866810e+00,3.25783348431444182e+01,3.30529569747429690e+01,0.00000000000000000e+00,1,0,0
43,1.66051933399380333e-02,6.97469462606407631e-02,4.51604846175458208e-02,5.51552154993443303e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.69630567509764268e-01,1.34120702896868060e-01,3.99951637662866810e+00,3.25783348431444182e+01,3.30529569747429690e+01,0.00000000000000000e+00,1,0,0
