phi,seed,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,valid_torus,degree_radius_corr,regime
8.29999999999999960e-01,4,1.33795042076407439e-01,8.29365117144219427e-02,1.25775944812570040e-01,6.09616692061874410e-01,1.23827408558651157e+02,1.59626521053247178e-01,5.32606742740042938e-01,6.47679682265788839e-13,1.58905966607392202e-07,1,7.51310547066451284e-01,high_sum_high_shape
8.39999999999999969e-01,4,1.17650894644174372e-01,7.22531921897089646e-02,1.16719270568526268e-01,5.12610154789082229e-01,1.13552629103511023e+02,1.45095630914088308e-01,5.30748002725267454e-01,3.34487747598736256e-07,1.16252008511619209e-04,1,8.30040124160736470e-01,high_sum_high_shape
8.49999999999999978e-01,4,1.15222585615060324e-01,7.48821717209867815e-02,1.17811465813748184e-01,5.41037759174937682e-01,1.13384899071076887e+02,1.45009326341741379e-01,5.30350722256433538e-01,1.41468379118294841e-02,2.17832787670160233e-02,1,8.05041200379711719e-01,high_sum_high_shape
8.59999999999999987e-01,4,1.11342188495801839e-01,7.29792271439359957e-02,1.11225617579450001e-01,5.18042727262452707e-01,9.45429183077385176e+01,1.36787502292386981e-01,4.61414541773143005e-01,7.01805631909721145e-02,4.47409644153804464e-02,1,8.14527086346699902e-01,high_sum_high_shape
8.69999999999999996e-01,4,1.03790138975716928e-01,6.55263704987381068e-02,1.04515130257760491e-01,4.85308308088959306e-01,9.62331115281618565e+01,1.33175091892912656e-01,4.81763562501443920e-01,1.75130595319699101e-01,8.14898988408523373e-02,1,8.53889845879610143e-01,high_sum_high_shape
8.80000000000000004e-01,4,1.00391755581752617e-01,5.85295962066234091e-02,1.00194572420427230e-01,4.36643879591620432e-01,1.17649447304378384e+02,1.22268278130412536e-01,6.08314513882986407e-01,3.43178738410229389e-01,9.20200993178288407e-02,1,8.36298776758139351e-01,high_sum_high_shape
8.90000000000000013e-01,4,9.78781666080297263e-02,6.03849080091378998e-02,9.86033749094227391e-02,4.47293433122273265e-01,7.66048436961082757e+01,1.23258740663289040e-01,4.02995898350914483e-01,5.63575960601478854e-01,1.13737975752829845e-01,1,8.51489895443242717e-01,high_sum_high_shape
9.00000000000000022e-01,4,9.99149773708715577e-02,6.03667444568758219e-02,1.00126937826428161e-01,4.51525391450875391e-01,8.11920692066175889e+01,1.26691564024037723e-01,4.18718259547834593e-01,8.76200198703576127e-01,1.49172996258042811e-01,1,8.52906892203848077e-01,high_sum_high_shape
9.10000000000000031e-01,4,1.02332188778151104e-01,7.01921033742241851e-02,9.99677236503623001e-02,5.02389071305783141e-01,9.37732866252012940e+01,1.37932818522811251e-01,4.52701124437874525e-01,1.29650933178284600e+00,1.82120269021826875e-01,1,8.08233222912596361e-01,high_sum_high_shape
9.20000000000000040e-01,4,9.15312330172341898e-02,6.42206384685031911e-02,9.02431966249534756e-02,4.75726388375148135e-01,8.74688732270894889e+01,1.27994099920079152e-01,4.50929168043095352e-01,1.53311107889950771e+00,1.67188305981822882e-01,1,8.17837095179025919e-01,high_sum_high_shape
