cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
178,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
179,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
179,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
180,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
180,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
180,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
180,surgery_microquench,6.59643654651542732e-04,-1.19783980029737613e-03,-1.69447128884236964e-03,4.36857265327295075e-03,2.36536802467053608e-03,-2.06226989494315491e-02,1
181,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
181,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
182,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
182,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
183,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
183,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
184,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
184,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
185,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
185,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
185,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
186,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
186,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
187,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
187,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
188,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
188,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
189,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
189,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
190,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
190,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
190,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
190,surgery_microquench,6.59643654651542732e-04,-1.19783980029737613e-03,-1.69447128884236964e-03,4.36857265327295075e-03,2.36536802467053608e-03,-2.06226989494315491e-02,1
191,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
191,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
192,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
192,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
193,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
193,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
194,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
194,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
195,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
195,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
195,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
196,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
196,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
197,shape,-2.77555756156289135e-17,-3.00824236291920288e-03,-1.70374891543657869e-03,0.00000000000000000e+00,0.00000000000000000e+00,3.16040131821444152e-03,1
197,ricci,-1.44370171009174236e-02,-1.14698537597772432e-03,-4.70870120149266547e-03,-1.07381438764494852e-01,-2.39014608163099357e-02,5.74461135226983222e-02,1
